Fund Name,Plan,Category,VR ID,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,-1.58,0.85,0.70,11.18,13.96,1.10
360 ONE ELSS Tax Saver Nifty 50 Index Reg,Regular,ELSS (Tax Saver),42906,-1.83,0.85,0.68,11.18,13.71,1.07
360 ONE Flexicap Dir,Direct,Flexi Cap,43547,--,--,--,--,--,--
360 ONE Flexicap Reg,Regular,Flexi Cap,43545,--,--,--,--,--,--
360 ONE Focused Dir,Direct,Flexi Cap,28458,0.77,0.90,0.90,11.83,16.78,1.35
360 ONE Focused Reg,Regular,Flexi Cap,28456,-0.22,0.90,0.82,11.82,15.78,1.23
360 ONE Silver ETF,Regular,Thematic-PSU,45054,--,--,--,--,--,--
360 ONE Silver ETF,Direct,Thematic-PSU,45054,--,--,--,--,--,--
Abakkus Flexi Cap Dir,Direct,Flexi Cap,45683,--,--,--,--,--,--
Abakkus Flexi Cap Reg,Regular,Flexi Cap,45681,--,--,--,--,--,--
Abakkus Small Cap Dir,Direct,Small Cap,45863,N/A,N/A,N/A,N/A,N/A,N/A
Abakkus Small Cap Reg,Regular,Small Cap,45862,N/A,N/A,N/A,N/A,N/A,N/A
ABSL Bal Bhavishya Yojna Dir,Direct,Flexi Cap,38821,-0.57,0.96,0.80,12.64,16.17,1.10
ABSL Bal Bhavishya Yojna Reg,Regular,Flexi Cap,38819,-1.92,0.96,0.69,12.58,14.77,0.95
ABSL Banking & Financial Services Dir,Direct,Sectoral-Auto,22526,4.25,0.92,1.01,12.36,18.56,2.21
ABSL Banking & Financial Services Reg,Regular,Sectoral-Auto,22524,3.30,0.92,0.93,12.35,17.61,2.05
ABSL BSE 500 Momentum 50 Index Fund Dir,Direct,Flexi Cap,45377,--,--,--,--,--,--
ABSL BSE 500 Momentum 50 Index Reg,Regular,Flexi Cap,45375,--,--,--,--,--,--
ABSL BSE 500 Quality 50 Index Dir,Direct,Flexi Cap,45381,--,--,--,--,--,--
ABSL BSE 500 Quality 50 Index Reg,Regular,Flexi Cap,45379,--,--,--,--,--,--
ABSL BSE Sensex ETF,Regular,Large Cap,32649,-2.48,0.92,0.58,11.04,12.50,0.94
ABSL BSE Sensex ETF,Direct,Large Cap,32649,-2.48,0.92,0.58,11.04,12.50,0.94
ABSL Conglomerate Dir,Direct,Thematic,44788,--,--,--,--,--,--
ABSL Conglomerate Reg,Regular,Thematic,44786,--,--,--,--,--,--
ABSL Consumption Dir,Direct,Thematic-Infrastructure,15834,-0.95,0.78,0.76,13.25,16.14,1.02
ABSL Consumption Reg,Regular,Thematic-Infrastructure,2787,-2.03,0.78,0.68,13.24,15.05,0.91
ABSL Digital India Dir,Direct,Sectoral-Technology,15878,4.38,0.85,0.18,19.10,9.46,0.24
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,0.33,0.92,0.88,11.90,16.61,1.32
ABSL ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),24,-0.40,0.92,0.82,11.89,15.87,1.23
ABSL ESG Integration Strategy Dir,Direct,Thematic-ESG,41221,1.21,0.98,0.85,12.48,16.74,1.23
